time_utc,event_rate,predicted_baseline,residual,is_anomaly
2024-03-22 18:01:13+00:00,18,15.946171682929984,2.053828317070016,0
2024-03-22 18:01:14+00:00,20,15.945157363894284,4.054842636105716,0
2024-03-22 18:01:15+00:00,22,15.944143044858583,6.055856955141417,0
2024-03-22 18:01:16+00:00,25,15.943128725822882,9.056871274177118,0
2024-03-22 18:01:17+00:00,22,15.942114406787182,6.057885593212818,0
2024-03-22 18:01:18+00:00,22,15.941100087751481,6.058899912248519,0
2024-03-22 18:01:19+00:00,19,15.94008576871578,3.0599142312842194,0
2024-03-22 18:01:20+00:00,24,15.93907144968008,8.06092855031992,0
2024-03-22 18:01:21+00:00,20,15.938057130644378,4.061942869355622,0
2024-03-22 18:01:22+00:00,21,15.937042811608677,5.062957188391323,0
2024-03-22 18:01:23+00:00,21,15.936028492572976,5.0639715074270235,0
